Hazard,Sub-types,Overarching type,Related to (overarching only),Hazard Alias,Hazard definition,Source of definition,Associated indices,Commentary,,
Coastal erosion,,,,,"Coastal erosion is the process by which local sea level rise, strong wave action, and coastal flooding wear down or carry away rocks, soils, and/or sands along the coast.",https://toolkit.climate.gov/hazard/erosion-and-shoreline-recession,"Extreme sea level, relative sea level",,,
Landslide,,,,,"A landslide is a mass movement of material, such as rock, earth or debris, down a slope. They can happen suddenly or more slowly over long periods of time. When the force of gravity acting on a slope exceeds the resisting forces of a slope, the slope will fail and a landslide occurs. External factors can lead to landslides happening, including:heavy rainfall leading to saturation of the ground; erosion of the base of a slope; and changes to the material’s strength through weathering.",https://www.bgs.ac.uk/discovering-geology/earth-hazards/landslides/,"Rainfall, record-breaking weather (wettest month), total precipitation, Extreme precipitation, Extreme precipitation days, Soil moisture, Rx1day, Rx5day, SDII, R10mm, R20mm, Rnnmm, CWD, R95p, R95pTOT, R99p, R99pTOT, PRCPTOT",,,
Avalanche (aka snowslide),,,,,"A mass of snow (perhaps containing ice and rocks) moving rapidly down a steep mountain slope. Avalanches may be characterized as loose and turbulent, or slab; either type may be dry or wet according to the nature of the snow forming it, although dry snow usually forms loose avalanches and wet snow forms slabs. A large avalanche sweeps a current of air along with and in front of it as an avalanche wind, which supplements its already tremendous destructive force.",https://glossary.ametsoc.org/wiki/Avalanche,"Snowfall amount, High Snow Days, Mean temperature (daily), total precipitation (daily)",Associated processes described here: https://doi.org/10.1038/s43017-024-00540-2,,
Heatwave,,,,,"A heatwave can be defined as a period where local excess heat accumulates over a sequence of unusually hot days and nights. Heatwaves consist of period of abnormally hot weather that can last from a few days to months where the maximum and minimum temperatures are unusually high to a location. The minimum temperature is as important as the maximum temperature as cooler nights allow the body to recover and if the nights are unusually hot, higher temperatures will be reached earlier in the day and last for longer.",https://wmo.int/topics/heatwave,"Met Office heatwave, Amber heat-health alert, Very hot days, Tropical nights, Heat stress, Road melt risk, Rail: high temperatures, Dairy cattle heat stress, Wheat heat stress, Warmest Three-Day Period, Apparent Temperature Heatwave Days, Climatological Heatwave Days, High UTCI Days, TR, TN90p, TX90p, WSDI, ETR, CDDcoldn, Cooling degree days (UK), TXge30, TXge35, HWN, HWF, HWD, HWM, HWA",,,
Wildfire,,,,,"Wildfires (also known as landscape fires) are any unplanned or uncontrolled fire affecting natural, cultural, industrial and residential landscapes. Unplanned or uncontrolled landscape fires (wildfires) are either started by natural causes (lightning, occasionally by burning coal seams or volcanic activity) or – predominantly at global level – by human activities and primarily by burning live or dead vegetation in natural or anthropogenically altered ecosystems. These include forests, grasslands, bush (shrub, scrub), and organic terrain (peatlands, wetlands), cultivated lands (agricultural and pasture lands, plantations, abandoned formerly cultivated lands) as well as protected lands (wilderness, conservation sites). In addition, unplanned landscape fires may affect residential and industrial areas (houses and other structures, peri-urban fringes, infrastructure including critical infrastructure) and remnants of human activities (waste deposits, remediated and un-remediated mine sites, contaminated lands), resulting in co-burning of hazardous / toxic substances. Landscape fire attributes and descriptions include: fuel type (type of vegetation / combustible material burned, such as grass, shrub, forest, peat); fire type (ground, surface, crown fire); fire behaviour, energy release and emission characteristics (fire spread, fire intensity, fire severity, radiative power, smouldering vs. flaming combustion, gas and particle emissions); and temporal and spatial dimension (e.g., creeping fires in organic terrain, spotting flashovers, short- to long-lasting events; single vs. multiple fires).",https://www.undrr.org/understanding-disaster-risk/terminology/hips/en0013,"Met Office Fire Danger, Wildfire: Daily Hazard Assessment, Wildfire: FFMC 99th percentile, Fire Weather Index, High Fire Danger Days",,,
Cold wave (aka cold snap),,,,,"A cold wave is a rapid fall in temperature within 24 hours and extreme low temperatures for an extended period. The temperatures classified as a cold wave are dependent on the location. Extreme cold is sometimes accompanied by winter storm events in which the main types of precipitation are snow, sleet, or freezing rain.",https://www.rmets.org/metmatters/cold-waves,"Cold weather alert, Road accident risk, Rail: bad weather days, Accumulated frost, Frost days, FD, HDDheatn, TN10p, TX10p, TXbdTNbd, TNlt2, TNltm2, TNltm20, TMlt5, TMlt10, CWN_ECF_ECF, CWF_ECF, CWD_ECF, CWM_ECF, CWA_ECF",,,
Frost,,,,,"The condition that exists when the temperature of the earth's surface and earthbound objects fall below freezing. Depending upon the actual values of ambient-air temperature, dewpoint, and the temperature attained by surface objects, frost may occur in a variety of forms. These include a general freeze, hoarfrost (or white frost), and dry freeze (or black frost). If a frost period is sufficiently severe to end the growing season (or delay its beginning), it is commonly referred to as a killing frost.",https://glossary.ametsoc.org/wiki/Frost,"FD, ID, TNltm2, TNltm20, Frost days, Accumulated frost",,,
Severe winter weather,,,,,"Severe winter weather consists of winter storm events in which the main types of precipitation are snow, sleet, or freezing rain.",https://toolkit.climate.gov/hazard/severe-winter-weather,"Snowfall amount, High Snow Days, FD, Frost Days, ID",,,
Severe winter weather,Snowstorms,,,,"A snow storm is a meteorological disturbance giving rise to a heavy fall of snow, often accompanied by strong winds",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0039,"Snowfall amount, High Snow Days",,,
Severe winter weather,Blizzard,,,,"A blizzard is a severe snow storm characterised by poor visibility, usually occurring at high-latitude and in mountainous regions. A blizzard is defined as moderate or heavy falling snow (either continuous or in the form of frequent showers) with winds speeds of 30 mph (48 km/hr) or more and a reasonably extensive snow cover reducing visibility to 200 metres (0.13 miles) or less.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0034 + https://weather.metoffice.gov.uk/learn-about/weather/types-of-weather/snow/blizzard,"Snowfall amount, High Snow Days",,,
Severe winter weather,Icestorm,,,,"An ice storm is a storm characterised by a fall of freezing precipitation. The attendant formation of glaze on terrestrial objects creates many hazards. Ice storms result from the accumulation of freezing rain, which is rain that becomes supercooled and freezes upon impact with cold surfaces. Freezing rain is most commonly found in a narrow band on the cold side of a warm front, where surface temperatures are at or just below freezing.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0037,"FD, Frost days, ID",,,
Wind storms,,,,,"A storm in which winds (that could be damaging) are its most impactful or distinctive aspect. Windstorms may be accompanied by precipitation (e.g., during a downburst or a derecho) or not (e.g., during a duststorm or a sandstorm).",https://glossary.ametsoc.org/wiki/Windstorm,"Extreme Wind Days, Mean Wind Speed",,,
Wind storms,Gales,,,,"A gale is a wind with a speed between 34 and 40 knots (62–74 km/h or 32–38 mph). Gales correspond to force 8 on the Beaufort scale (also called Beaufort wind force scale), which is an empirical measure that relates wind speed to observed conditions at sea or on land.",https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0054,"Extreme Wind Days, Mean Wind Speed",,,
Wind storms,Severe thunderstorms,,,,"In general, a local storm, invariably produced by a cumulonimbus cloud and always accompanied by lightning and thunder, usually with strong gusts of wind, heavy rain, and sometimes with hail. It is usually of short duration, seldom over two hours for any one storm. A thunderstorm is a consequence of atmospheric instability and constitutes, loosely, an overturning of air layers in order to achieve a more stable density stratification. A strong convective updraft is a distinguishing feature of this storm in its early phases. A strong downdraft in a column of precipitation marks its dissipating stages. Thunderstorms often build to altitudes of 40 000–50 000 ft in midlatitudes and to even greater heights in the Tropics; only the great stability of the lower stratosphere limits their upward growth. A unique quality of thunderstorms is their striking electrical activity. The study of thunderstorm electricity includes not only lightning phenomena per se but all of the complexities of thunderstorm charge separation and all charge distribution within the realm of thunderstorm influence. In U.S. weather observing procedure, a thunderstorm is reported whenever thunder is heard at the station; it is reported on regularly scheduled observations if thunder is heard within 15 minutes preceding the observation. ",https://glossary.ametsoc.org/wiki/Thunderstorm,"Extreme Wind Days, Mean Wind Speed",,,
Wind storms,Tornado,,,,"A tornado is a rotating column of air, extending from the base of a cumuliform cloud, and often visible as a condensation funnel in contact with the ground, and/or attendant circulating dust or debris cloud at the ground. A large tornado in which the condensation funnel is at least as wide horizontally at the ground as it is in height from the ground to the cloud base may be referred to as a wedge tornado. During the dissipation stage of a tornado, the condensation funnel will shrink and narrow in width, becoming rope-like (a rope funnel), and may also become contorted. Some tornadoes may contain secondary vortices within the main circulation (suction vortices or subvortices). The strength of a tornado can be estimated from the degree of damage caused using the Enhanced Fujita scale. Tornadoes can be classified into the following distinct formation groups: Type I (in association with supercells), Type II (in association with quasi-linear convective systems), and Type III (localised convective and shear vortices – these comprise landspouts, waterspouts and cold-air funnels). Landspout is a tornado that does not arise from organised storm-scale rotation and is therefore not associated with a wall cloud (murus) or a mesocyclone. Waterspout is a tornado occurring over water; normally a relatively small, weak rotating column of air over open water below a Cumulonimbus or Cumulus congestus cloud. ",https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0059,"Extreme Wind Days, Mean Wind Speed",,,
Wind storms,Extratropical cyclones,,,,"An extra-tropical cyclone is a storm system that primarily gets its energy from the horizontal temperature contrasts that exist in the atmosphere. Extra-tropical cyclones (also known as mid-latitude or baroclinic storms) are low pressure systems with associated cold fronts, warm fronts, and occluded fronts. Extra-tropical cyclones occur in the extra-tropics (generally more than 30° latitude away from the equator). They consist of an approximately circular region of low surface pressure, of a radius of 100–2000 km. At the same time, high up in the atmosphere (around 10 km altitude) a jet stream is typically found relatively close by. In fact, the intensity of an extra-tropical cyclone is closely related to the strength of this jet stream. The strongest extra-tropical cyclones occur in the winter months when the jet stream is at its strongest. Periods when the jet stream is unusually strong can lead to two or more strong cyclones occurring within days of each other. The total lifecycle of an extra-tropical cyclone from birth (genesis) through to development and on to decay (lysis) can occasionally be more than 10 days, although somewhere in the range of 2 to 5 days is more typical.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0031,"Extreme Wind Days, Mean Wind Speed",,,
Wind storms,Tropical cyclones,,,,"A tropical cyclone is a warm-core, non-frontal, synoptic-scale cyclone that originates over tropical or subtropical waters. It is characterized by organized deep convection and a closed surface wind circulation around a well-defined center. Tropical cyclones that form in the Northwestern Pacific Basin (between 180° and 100°E in the Northern Hemisphere) and produce sustained winds of at least 33 m/s are called typhoons. If a tropical cyclone with sustained wind speeds exceeding 33 m/s develops in the North Atlantic Ocean, the Northeast Pacific Ocean (east of the International Date Line), or the South Pacific Ocean (east of 160°E), it is referred to as a hurricane.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0057 + https://gpm.nasa.gov/education/articles/what-hurricane-typhoon-or-tropical-cyclone,"Extreme Wind Days, Mean Wind Speed",,,
Marine heatwave,,,,,"Marine heatwaves are periods of persistent anomalously warm ocean temperatures, which can have significant impacts on marine life as well as coastal communities and economies.",https://psl.noaa.gov/marine-heatwaves/,Marine Heatwaves Days index,,,
Ocean acidification,,,,,"Increased acidity (reduction in pH) of seawater over an extended time period, as a result of increased carbon dioxide concentration in the ocean, primarily due to uptake of carbon dioxide from the atmosphere.",https://changingclimate.ca/CCCR2019/definitions/,Ocean pH level,,,
Ocean deoxygenation,,,,Ocean hypoxia,"In ocean and freshwater environments, the term ""hypoxia"" refers to low or depleted oxygen in a water body. The amount of oxygen in any water body varies naturally, both seasonally and over time. This occurs due to a balance between oxygen input from the atmosphere and certain biological and chemical processes, some of which produce oxygen while others consume it. Stratification in the water column, which occurs when less dense freshwater from an estuary mixes with heavier seawater, is one natural cause of hypoxia. Limited vertical mixing between the water ""layers"" restricts the supply of oxygen from surface waters to more saline bottom waters, leading to hypoxic conditions in bottom habitats. Hypoxia is often associated with the overgrowth of certain species of algae, which can lead to oxygen depletion when they die, sink to the bottom, and decompose. In some cases, vast stretches of open water become hypoxic. Unable to sustain life, these areas, called dead zones, may cause die-offs of fish, shellfish, corals, and aquatic plants.",https://oceanservice.noaa.gov/hazards/hypoxia/,Dissolved oxygen level,,,
