Name,Units,Definition,Source,Associated variable,Commentary,Link to CLIMDEX,CLIMDEX relation,Linked indicators,Linked indicator relation,Sector,,Source,Link to source
12-month river drought (extreme),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 12-month accumulated river flow) less than -1.5.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
12-month river drought (severe),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 12-month accumulated river flow) less than-2.0.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
24-month river drought (extreme),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 24-month accumulated river flow) less than -1.5.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
24-month river drought (severe),Proportion of time,Number of months with a Standardised Streamflow Index (calculated from 24-month accumulated river flow) less than -2.0.,UK CRI,"pr, evspsblpot / huss, rls, rss, sfcWind, tas, psl, pr",Calculated using hydrological model,,,,,"Water Resources, Energy",,,
Soil moisture,% change from 1981-2010 mean,Average seasonal soil moisture content,UK CRI,"mrso (Mass Content Of Water In Soil) or calculate using land surface model: pr, tas, huss, rls, rss, sfcWind, psl",Can be calculated by land surface model like in Szczykulska et al. (2024) https://doi.org/10.1088/1748-9326/ad7045,,,Soil moisture,identicalTo,"Forestry/GHG, Water Resources, Agriculture",,,
Warmest Three-Day Period,°C; °C change from 1991-2010 mean,"The highest daily mean temperature averaged over a three-day window over a period (°C). In weather and climate models temperature is the variable simulating atmospheric air temperature at 2m above the surface. This Index is usually presented as annual, seasonal or monthly values over a reference period.",Climate ADAPT,tasmax,,,,,,"Human health, Agriculture and Food Security",,,
Apparent Temperature Heatwave Days,days/year (abs and change),"The Apparent Temperature Heatwave Days Index (Number of Days) is defined as a period of at least two consecutive days during the summer months (June, July, August) in which both the daily apparent temperature and the daily minimum temperature exceed their monthly 90th percentiles defined over a reference period. Apparent temperature is a linear function of temperature and dew point temperature to account for humidity conditions.",Climate ADAPT,"tas, tasmin, hurs",,,,,,Human health,,,
Climatological Heatwave Days,days/year (abs and change),The count of days under climatological heatwaves conditions (Number of days). A climatological heatwave is a period of at least three consecutive days exceeding the 99th percentile of the daily maximum temperatures of the May to September season during a reference period.,Climate ADAPT,tasmax,,,,Met Office heatwave,relatedTo,"Health, Agriculture and Food Security, Transport, Energy, Forestry/GHG, Disaster Risk Reduction",,,
High UTCI Days,days/year,"The UTCI is an equivalent temperature (°C) and is a measure of the human physiological response to meteorological conditions that also takes into consideration the clothing adaptation of the population in response to outdoor temperature. It is based on four surface variables: air temperature, relative humidity, wind speed and mean radiant temperature. UTCI values are divided in 5 classes of heat stress: no thermal stress (9°C-26°C), moderate heat stress (26°C-32°C), strong heat stress (32°C-38°C), very strong heat stress (38C°-46C°), and extreme heat stress (>46°C). The index refers to the number of days in the category of strong heat stress or stronger (>32°C).",Climate ADAPT,"tas, sfcWind, hurs, rss, rls",,,,,,Human health,,,
Total Precipitation,mm/period; % change from 1991-2020 mean,"The cumulated precipitation over a period (mm/period). In weather and climate models total precipitation is the flux of water equivalent (rain or snow) reaching the land surface (expressed as kg⋅m⁻²⋅sec⁻² and converted to mm/day). This Index is usually presented as annual, seasonal or monthly cumulated values over the considered period.",Climate ADAPT,pr,,,,Total precipitation,relatedTo,,,,
Mean Temperature,°C; °C change from 1991-2010 mean,"The mean of 2m temperature (°C) values during a given period. In weather and climate models temperature is the variable simulating atmospheric air temperature at 2m above the surface. This Index is usually presented as annual, seasonal or monthly values over a reference period.",Climate ADAPT,tas,"Like TMm, but for monthly, seasonal, annual instead of daily mean temperatures",TMm,relatedTo,Average temperature,relatedTo,,,,
Maximum temperature,°C; °C change from 1991-2010 mean,"The maximum value of daily maximum temperature over a period (°C). In weather and climate models temperature is the variable simulating atmospheric air temperature at 2m above the surface. This Index is usually presented as annual, seasonal or monthly values over a reference period.",Climate ADAPT,tasmax,"Like TXm, but for monthly, seasonal, annual instead of daily max temperatures",TXm,relatedTo,Maximum temperature (CRI),relatedTo,"Human health, Agriculture and Food Security, Biodiversity",,,
Minimum temperature,°C; °C change from 1991-2010 mean,"The minimum value of daily minimum temperature over a period (°C). In weather and climate models temperature is the variable simulating atmospheric air temperature at 2m above the surface. This Index is usually presented as annual, seasonal or monthly values over a reference period.",Climate ADAPT,tasmin,"Like TNm, but for monthly, seasonal, annual instead of daily min temperatures",TNm,relatedTo,Minimum temperature (CRI),relatedTo,"Human health, Agriculture and Food Security, Biodiversity",,,
Maximum Consecutive Five-Day Precipitation,mm; mm change,"Maximum five days cumulated precipitation (mm). In weather and climate models total precipitation is the flux of water equivalent (rain or snow) reaching the land surface (expressed as kg.m-2.sec-2 and converted to mm/day). Precipitation is usually presented as annual, seasonal or monthly cumulated values over the considered period but extremes are cumulated on shorter periods (eg daily, 3-Day, or 5-days maximums).",Climate ADAPT,pr,,Rx5day,identicalTo,,,"Water Resources, Agriculture and Food Security, Transport",,,
Extreme Precipitation Total,mm; mm change,"The total sum in a year of daily precipitation values exceeding the 95th percentile of the reference period (mm). In weather and climate models total precipitation is the flux of water equivalent (rain or snow) reaching the land surface (expressed as kg.m-2.sec-2 and converted to mm/day). Precipitation is usually presented as annual, seasonal or monthly cumulated values over the considered period but extremes are cumulated on shorter periods (eg daily, 3-Days, or 5-Days maximums).",Climate ADAPT,pr,,R95p,identicalTo,,,"Water Resources, Agriculture and Food Security, Transport",,,
Extreme Precipitation Days,days (abs and change),"The count of days in a year with daily precipitation exceeding the 95th percentile threshold of rainy days over a reference period, here the 1981-2010 period (day). In weather and climate models total precipitation is the flux of water equivalent (rain or snow) reaching the land surface (expressed as kg.m-2.sec-2 and converted to mm day-1). This Index is usually presented as annual, seasonal or monthly cumulated values over the considered period.",Climate ADAPT,pr,,,,Extreme Precipitation Total,relatedTo,"Water Resources, Agriculture and Food Security, Transport",,,
Consecutive Dry Days,days (abs and change),"The longest period of consecutive days with daily precipitation below 1 mm in a year (day). In weather and climate models temperature is the variable simulating atmospheric air temperature at 2m above the surface. This Index is usually presented as annual, seasonal or monthly values over a reference period.",Climate ADAPT,pr,,CDD,identicalTo,,,"Agriculture and Food Security, Water Resources, Forestry/GHG",,,
Meteorological Drought Duration,months (abs and change),"The count of months in a year with anomalously low precipitation conditions based on the 3-month Standardised Precipitation Index (SPI-3) relative to a reference period, here 1981-2010 (month). A drought event starts when SPI-3 values fall below -1 for at least two consecutive months and ends when the index returns positive.",Climate ADAPT,pr,,SPI,derivedFrom,,,"Agriculture and Food Security, Water Resources, Forestry/GHG",,,
Meteorological Drought Magnitude,dimensionless,"The cumulative severity of drought events in a year based on the 3-month Standardised Precipitation Index (SPI-3) relative to a reference period, here 1981-2010 (dimensionless). A drought event starts when SPI-3 values fall below -1 for at least two consecutive months and ends when the index returns positive. The magnitude of the event is defined as the sum of SPI-3 absolute values in the months of the drought episode.",Climate ADAPT,pr,,SPI,identicalTo,,,"Agriculture and Food Security, Water Resources, Forestry/GHG",,,
River discharge,m³⋅s⁻¹ (abs and change),The River Discharge index is defined as the annual mean daily river discharge (m³⋅s⁻¹).,Climate ADAPT,"pr, tas + sfcWind, rss, rls, psl, huss","Output of a hydrological model; climate model variables used to drive the model are mentioned here: https://confluence.ecmwf.int/pages/viewpage.action?pageId=283549812#Hydrologyrelatedclimateimpactindicatorsfrom1970to2100derivedfrombiasadjustedEuropeanclimateprojections:ProductUserGuide,SpecificationandWorkflow-3.4InputdataInputdata",,,,,"Disaster Risk Reduction, Transport",,,
River Flood,m³⋅s⁻¹ (abs and change),"The River Flood index is the 50-year (also 10-, 5- and 2-year) flood recurrence value based on maximum river discharge. It is estimated from annual daily maximum river discharge using a Gumbel distribution.",Climate ADAPT,"pr, tas + sfcWind, rss, rls, psl, huss","Output of a hydrological model; climate model variables used to drive the model are mentioned here: https://confluence.ecmwf.int/pages/viewpage.action?pageId=283549812#Hydrologyrelatedclimateimpactindicatorsfrom1970to2100derivedfrombiasadjustedEuropeanclimateprojections:ProductUserGuide,SpecificationandWorkflow-3.4InputdataInputdata",,,River flood (UK CRI),relatedTo,"Disaster Risk Reduction, Transport",,,
Aridity Actual,dimensionless,"The ratio between mean annual actual evapotranspiration and mean annual precipitation, generally calculated over a reference period of 30 years. Actual evapotranspiration is estimated using hydrological models and, in contrast to potential evapotranspiration, accounts for the limited water content actually available in the soil when estimating the evapotranspiration demand.",Climate ADAPT,"pr, evspsbl / pr, tas + sfcWind, huss, psl, rss, rsl","Output of a hydrological model; climate model variables used to drive the model are mentioned here: https://confluence.ecmwf.int/pages/viewpage.action?pageId=283549812#Hydrologyrelatedclimateimpactindicatorsfrom1970to2100derivedfrombiasadjustedEuropeanclimateprojections:ProductUserGuide,SpecificationandWorkflow-3.4InputdataInputdata",,,,,"Agriculture and Food Security, Water Resources, Forestry/GHG, Biodiversity/ Ecosystems",,,
Mean Soil Moisture,dimensionless,The soil moisture is defined as the monthly mean values of soil moisture in the root zone as the fraction of the field capacity volume over a 30 year period.,Climate ADAPT,"rzwc (Mass Content Of Water In Soil Layer Defined By Root Depth), mrsofc / pr, tas + sfcWind, rss, rls, psl, huss","Output of a hydrological model; climate model variables used to drive the model are mentioned here: https://confluence.ecmwf.int/pages/viewpage.action?pageId=283549812#Hydrologyrelatedclimateimpactindicatorsfrom1970to2100derivedfrombiasadjustedEuropeanclimateprojections:ProductUserGuide,SpecificationandWorkflow-3.4InputdataInputdata",,,Mean soil moisture,identicalTo,"Forestry/GHG, Water Resources, Agriculture",,,
High Fire Danger Days,days (abs and change),"The count of days in a period with a FWI value greater than 30 (Number of days) based upon the European Forest Fire Information System (EFFIS) classification. The Fire Weather Index (FWI) is a meteorologically based index used worldwide to estimate fire danger. It is developed by the Canadian Forestry Service to estimate forest fire ignition and spread conditions based on several weather variables (temperature, precipitation, relative humidity, and wind speed).",Climate ADAPT,"tas, pr, hurs, sfcWind",,,,Fire Weather Index,derivedFrom,"Forestry/GHG, secondary: Transport, Energy",,,
Fire Weather Index,dimensionless,"The Fire Weather Index (FWI) is a meteorologically based index used worldwide to estimate fire danger. It is developed by the Canadian Forestry Service to estimate forest fire ignition and spread conditions based on several weather variables (temperature, precipitation, relative humidity, and wind speed).",Climate ADAPT,"tas, pr, hurs, sfcWind",,,,"Met Office Fire Danger, Wildfire: Daily Hazard Assessment; Wildfire: FFMC 99th percentile",relatedTo,"Forestry/GHG, Disaster Risk Reduction",,,
