Tasks,Subtasks,Parent Task,Task description,Associated entities,Range,Backward dependency,Forward dependency,Conflict,Input,Output,Type of info,Condition,Comment,Role,In DSS?,FF comments,Colour code,
,Quantify uncertainty,Analyse climate information,The task of quantifying the uncertainty in projections of the selected climate simulations.,Method,No,Select climate simulations,,,Processed climate simulation data (selection),Uncertainty estimate,Obligatory,,,Case solver,YES,Agreed,,
,Estimate subjective confidence,Analyse climate information,The task of indicating the subjective level of confidence in future climate change and uncertainty quantification.,"Confidence level: low, medium, high",No,"Quantify future climate change
Quantify uncertainty",,,"Output metric, uncertainty estimate",Confidence estimate,Obligatory,,,Case solver,YES,Agreed. Do we have anything on how we measure confidence?,,
,Postprocess climate information,Analyse climate information,"The task of postprocessing (e.g., spatially aggregating) provided climate information",Method,No,"Quantify future climate change
Quantify uncertainty",,,"Output metric, uncertainty estimate",Aggregated climate information,Optional,,,Case solver,YES,It's needed,,
Assess climate impacts,,,The task of conducting the climate impact assessment to understand the impacts of each hazard,,,,,,,,Conditional,Only obligatory if climate information analysis is not done.,,,YES,,,
,Select impact model,Assess climate impacts,"The task of identifying models, transfer functions or datasets that can translate climate information into an impact assesment",Text,No,,,,"Aggregated climate information or output metric and uncertainty estimate, impact assessment method",Impact assessment method,Obligatory,,,Case solver,YES,,,
,Conduct impact analysis,Assess climate impacts,"The task of applying impact models, transfer functions or datasets to simulate, quantify, or describe the impacts",Text,No,"Select impact model
Quantify future climate change
Quantify uncertainty
Postprocess climate information
",,,"Aggregated climate information or output metric and uncertainty estimate, impact assessment method",Impact analysis,Obligatory,,,Case solver,YES,,,
,Postprocess impact analysis,Assess climate impacts,"The task of postprocessing the provided climate impact information (e.g., spatial aggregation, regridding) as necessary",Method,No,Conduct impact analysis,,,Impact analysis,Postprocessed impact analysis,Optional,,,Case solver,YES,Keep this,,
Conduct climate risk assessment,,,The task of conducting climate risk assessment.,,,,,,,,Optional,,,,YES,Very much so,,
,Identify vulnerability,Conduct climate risk assessment,The task of providing vulnerability information.,Text (Vulnerability),No,,Assess risk,,,Vulnerability information,Optional,,,Case solver,YES,,,
,Identify exposure,Conduct climate risk assessment,The task of providing exposure information.,Text (Exposure),No,,Assess risk,,,Exposure information,Optional,,,Case solver,YES,,,
,Assess risk,Conduct climate risk assessment,The task of conducting the climate risk assessment.,Text,No,"Identify vulnerability
Identify exposure
Conduct impact analysis
Postprocess impact analysis",,,"Impact analysis OR postprocessed impact analysis, vulnerability & exposure information",Risk assessment,Optional,,,Case solver,YES,,,
Present climate information,,,"The task of presenting the climate or climate impact information through visual (e.g., plot, diagram, flowchart, graph, map), quantitative (e.g., table), or qualitative (e.g. narrative) formats",,,,,,,,Optional,,,Case solver,YES,,,
Send climate information,,,The task of sending climate information.,,,,,,,,Obligatory,,,Case solver,NO,,,
Disseminate climate information,,,The task of communicating the climate information.,,,,,,,,Obligatory,,,Information requester,NO,,,
